cell_id,x,y,area,green_mean,green_max,red_positive,blue_positive,classification,red_mean,blue_mean,red_max,blue_max,red_positive_fraction,blue_positive_fraction
137,974.1322081575246,1061.3741209563993,711,106.71730041503906,217.0,True,True,double_positive,78.456,80.865,157.0,222.0,0.6835,0.2968
138,931.8887652947719,1074.761957730812,899,112.32925415039062,230.0,True,True,double_positive,80.455,96.142,165.0,225.0,0.644,0.3749
139,798.7051509769094,1065.9857904085256,563,80.57015991210938,126.0,False,False,green_only,0.048,21.671,3.0,230.0,0.0,0.0551
140,516.1720569210867,1081.0310478654592,773,112.12936401367188,180.0,False,False,green_only,0.461,97.673,7.0,200.0,0.0,0.0724
141,1180.9772209567197,1083.7835990888382,439,96.58997344970703,111.0,False,False,green_only,0.0,35.688,0.0,193.0,0.0,0.0273
142,884.2801082543979,1105.235453315291,739,80.13396453857422,96.0,False,False,green_only,0.318,0.438,8.0,64.0,0.0,0.0
143,546.2172523961661,1106.4728434504793,313,113.11182403564453,129.0,False,True,blue_positive,0.0,119.173,0.0,181.0,0.0,0.2364
144,1160.3978349120432,1108.3558863328822,739,102.5872802734375,123.0,True,False,red_positive,74.622,59.884,197.0,217.0,0.5535,0.0663
145,683.5827067669173,1105.4962406015038,266,74.96992492675781,89.0,False,False,green_only,1.898,0.541,8.0,12.0,0.0,0.0
146,838.3322033898305,1116.6347457627119,1180,126.7525405883789,239.0,False,True,blue_positive,0.339,108.33,7.0,204.0,0.0,0.3085
147,1053.0193905817175,1120.96675900277,361,105.86703491210938,200.0,False,True,blue_positive,0.044,82.684,1.0,227.0,0.0,0.2825
148,963.4710144927536,1122.1014492753623,276,72.26449584960938,82.0,False,False,green_only,0.616,0.0,14.0,0.0,0.0,0.0
149,1131.5964653902797,1139.720176730486,679,102.64653778076172,146.0,True,False,red_positive,123.474,66.056,197.0,220.0,0.8527,0.1988
150,1025.237347294939,1134.9746945898778,1146,109.17102813720703,207.0,False,True,blue_positive,0.217,77.15,3.0,214.0,0.0,0.2618
151,750.0034423407917,1144.7349397590363,581,95.59896850585938,174.0,False,False,green_only,16.793,55.236,70.0,238.0,0.0413,0.167
152,1158.7185628742516,1148.4291417165668,501,88.84431457519531,128.0,True,False,red_positive,30.353,18.94,156.0,235.0,0.2255,0.024
153,1187.9198717948718,1145.7403846153845,312,69.18910217285156,83.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
154,830.6878504672898,1165.414953271028,535,119.24298858642578,211.0,False,True,blue_positive,0.161,113.445,8.0,222.0,0.0,0.4411
155,634.0651041666666,1176.6692708333333,384,106.66666412353516,128.0,False,True,blue_positive,0.159,91.273,6.0,201.0,0.0,0.2161
156,711.7315010570825,1191.5623678646934,946,99.41014862060547,115.0,False,False,green_only,1.353,40.328,12.0,234.0,0.0,0.0307
157,1029.8426229508198,1189.1,1830,104.93661499023438,218.0,False,True,blue_positive,0.036,74.375,3.0,223.0,0.0,0.2536
158,665.8256880733945,1195.1238532110092,1090,100.72752380371094,126.0,False,False,green_only,0.561,57.306,9.0,203.0,0.0,0.0697
159,894.5489260143198,1199.288782816229,419,78.28401184082031,94.0,False,False,green_only,0.0,0.618,0.0,18.0,0.0,0.0
160,830.4304029304029,1206.937728937729,546,98.3974380493164,110.0,False,False,green_only,0.17,28.857,6.0,217.0,0.0,0.0165
161,1109.483208955224,1213.3376865671642,536,86.38246154785156,142.0,False,False,green_only,12.705,33.507,69.0,237.0,0.0093,0.1007
162,801.3242236024845,1211.8596273291926,805,99.63602447509766,123.0,False,False,green_only,0.943,41.442,9.0,212.0,0.0,0.0149
163,747.6245210727969,1212.3295019157088,261,88.1800765991211,122.0,False,False,green_only,1.87,12.088,13.0,234.0,0.0,0.0383
164,1081.2482394366198,1222.6338028169014,568,109.35034942626953,193.0,True,True,double_positive,39.967,90.197,131.0,221.0,0.3257,0.3803
165,961.8289930555555,1236.568576388889,1152,92.9921875,157.0,False,False,green_only,0.136,34.883,6.0,227.0,0.0,0.0755
166,1022.1048387096774,1239.847926267281,868,73.139404296875,93.0,False,False,green_only,0.024,0.175,2.0,26.0,0.0,0.0
167,818.8914728682171,1249.5581395348838,258,82.73255920410156,99.0,False,False,green_only,0.0,3.372,0.0,110.0,0.0,0.0
168,849.2695374800638,1253.6666666666667,627,86.34768676757812,101.0,False,False,green_only,0.0,5.577,0.0,74.0,0.0,0.0
169,877.8235294117648,1252.0901960784313,255,82.90980529785156,92.0,False,False,green_only,0.208,0.894,3.0,23.0,0.0,0.0
170,924.4051612903226,1258.7509677419355,775,79.0335464477539,112.0,False,False,green_only,0.219,3.566,6.0,229.0,0.0,0.0065
