cell_id,x,y,area,green_mean,green_max,red_positive,blue_positive,classification,red_mean,blue_mean,red_max,blue_max,red_positive_fraction,blue_positive_fraction
521,783.2325581395348,1016.7751937984497,387,74.7105941772461,107.0,False,True,blue_positive,3.55,5.171,23.0,212.0,0.0,0.0129
522,763.189701897019,1020.8048780487804,369,83.54200744628906,133.0,False,True,blue_positive,8.168,25.932,44.0,235.0,0.0,0.0921
523,998.8714285714286,1021.2,70,67.9142837524414,76.0,True,False,red_positive,44.457,0.0,70.0,0.0,0.2429,0.0
524,794.2685185185185,1023.2777777777778,108,69.88888549804688,83.0,False,False,green_only,6.861,0.0,20.0,0.0,0.0,0.0
525,1227.3275862068965,1024.655172413793,58,89.25862121582031,118.0,False,True,blue_positive,0.0,37.586,0.0,239.0,0.0,0.1207
526,1017.4142857142857,1029.0142857142857,140,76.70714569091797,112.0,True,True,double_positive,118.343,8.85,190.0,211.0,0.8357,0.0286
527,1226.6875,1032.9270833333333,96,82.91666412353516,128.0,False,True,blue_positive,0.083,19.625,2.0,250.0,0.0,0.0625
528,945.7989417989418,1033.5361552028219,567,101.8377456665039,139.0,True,True,double_positive,95.383,69.497,166.0,219.0,0.8889,0.2822
529,745.7980769230769,1033.375,104,76.96154022216797,109.0,False,True,blue_positive,6.192,16.846,19.0,199.0,0.0,0.0481
530,597.7662454873646,1028.462093862816,1108,107.98104858398438,171.0,True,True,double_positive,96.034,79.158,176.0,203.0,0.833,0.3764
531,626.4142538975501,1031.4409799554567,449,97.08686065673828,139.0,True,True,double_positive,109.759,40.78,180.0,237.0,0.9555,0.1492
532,452.0,1036.0227272727273,44,68.40908813476562,75.0,False,False,green_only,0.023,0.0,1.0,0.0,0.0,0.0
533,526.5666666666667,1033.9,60,95.61666870117188,103.0,False,False,green_only,1.1,9.083,4.0,85.0,0.0,0.0
534,1173.0622222222223,1036.2933333333333,225,75.75111389160156,84.0,False,False,green_only,0.053,0.0,2.0,0.0,0.0,0.0
535,1157.0913705583757,1040.7055837563453,197,73.0101547241211,84.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
536,1219.6615384615384,1040.1384615384616,65,78.0923080444336,87.0,False,False,green_only,1.015,0.892,7.0,27.0,0.0,0.0
537,963.8913043478261,1042.0217391304348,46,89.39130401611328,102.0,True,False,red_positive,65.522,0.739,88.0,24.0,0.7391,0.0
538,738.1491712707183,1043.6685082872928,181,79.75138092041016,115.0,False,True,blue_positive,5.95,17.365,29.0,220.0,0.0,0.0387
539,460.5,1044.8090909090909,110,73.61817932128906,84.0,False,False,green_only,0.073,0.0,1.0,0.0,0.0,0.0
540,525.89375,1045.40625,160,103.5562515258789,116.0,False,True,blue_positive,1.863,60.131,9.0,193.0,0.0,0.2
541,503.0625,1045.7847222222222,144,109.24305725097656,121.0,False,True,blue_positive,1.542,100.153,10.0,192.0,0.0,0.4167
542,1038.1101321585902,1047.7444933920706,454,94.66519927978516,193.0,True,True,double_positive,116.346,59.896,199.0,237.0,0.8194,0.2489
543,727.43,1052.28,200,75.86499786376953,135.0,False,True,blue_positive,12.47,15.565,51.0,226.0,0.0,0.05
544,514.6326530612245,1050.9115646258504,147,109.14286041259766,121.0,False,True,blue_positive,3.803,89.014,21.0,185.0,0.0,0.3741
545,677.1560130010835,1049.3044420368365,923,92.25569152832031,207.0,False,True,blue_positive,2.769,38.953,29.0,239.0,0.0,0.1452
546,1061.9466666666667,1051.52,75,79.5999984741211,113.0,True,True,double_positive,146.48,17.96,211.0,199.0,0.88,0.04
547,1213.9468085106382,1052.9929078014184,282,79.72340393066406,112.0,False,True,blue_positive,0.082,6.195,3.0,213.0,0.0,0.0142
548,540.4794520547945,1057.7945205479452,73,103.876708984375,113.0,False,True,blue_positive,0.425,64.26,2.0,205.0,0.0,0.1644
549,1021.0700636942676,1060.8726114649683,157,82.63056945800781,120.0,True,True,double_positive,46.427,24.503,121.0,214.0,0.4459,0.0828
550,556.2674418604652,1060.1744186046512,86,100.1744155883789,117.0,False,True,blue_positive,0.244,66.36,2.0,230.0,0.0,0.2442
551,811.030487804878,1060.378048780488,164,77.17682647705078,126.0,False,True,blue_positive,0.0,11.909,0.0,211.0,0.0,0.0366
552,974.031377899045,1061.6466575716236,733,106.05729675292969,217.0,True,True,double_positive,78.304,78.443,162.0,222.0,0.6999,0.3438
553,1060.9583333333333,1067.9333333333334,360,73.5250015258789,121.0,True,True,double_positive,45.519,4.469,212.0,203.0,0.2972,0.0167
554,794.6404255319148,1067.9340425531916,470,79.70851135253906,122.0,False,True,blue_positive,0.079,21.923,3.0,230.0,0.0,0.0702
555,1218.655737704918,1069.6475409836066,122,67.7213134765625,76.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
556,928.171875,1071.8810096153845,832,111.95191955566406,230.0,True,True,double_positive,78.499,92.124,165.0,199.0,0.6286,0.4736
557,524.978515625,1081.771484375,512,115.1171875,141.0,False,True,blue_positive,0.412,106.914,9.0,165.0,0.0,0.582
558,833.7954545454545,1076.1363636363637,44,74.11363983154297,88.0,False,False,green_only,0.0,0.818,0.0,29.0,0.0,0.0
559,502.68831168831167,1080.8025974025975,385,101.01558685302734,180.0,False,True,blue_positive,0.629,58.491,7.0,200.0,0.0,0.2675
560,550.2567567567568,1079.7364864864865,148,105.37162017822266,112.0,False,True,blue_positive,0.689,64.628,9.0,168.0,0.0,0.2162
561,951.542288557214,1084.4378109452737,201,99.15422821044922,154.0,True,True,double_positive,67.781,50.965,156.0,225.0,0.5771,0.2139
562,1039.4736842105262,1083.0,228,79.71052551269531,104.0,True,True,double_positive,66.145,6.004,178.0,192.0,0.5132,0.0088
563,1180.1146025878004,1084.1072088724584,541,95.5970458984375,111.0,False,True,blue_positive,0.0,33.479,0.0,198.0,0.0,0.061
